date,BadWeather,Average,3DayAverage,7DayAverage,High,Low
20140410,0,10,13.4166666666667,13.85,14.40000000000000,5.6
20140411,0,18.6,15,15.3571428571429,23.90000000000000,13.30000000000000
20140412,0,16.4,17.8666666666667,14.8,22.80000000000000,10.00000000000000
20140413,0,18.6,18.15,13.7714285714286,25.00000000000000,12.20000000000000
20140414,0,19.45,15.65,13.1357142857143,23.90000000000000,15.00000000000000
20140415,0,8.9,10.9333333333333,11.2714285714286,17.20000000000000,0.6
20140416,1,4,6.3,10.7142857142857,9.4,-0.5
20140417,0,5.55,5.18333333333333,9.68571428571429,8.9,2.2
20140418,0,5.55,7.86666666666667,8.65,9.4,1.7
20140419,0,12.5,9.81666666666667,9.68571428571429,20.00000000000000,5
20140420,0,11.4,12.0333333333333,10.6785714285714,15.60000000000000,7.2
20140421,0,12.2,13.25,11.4785714285714,19.40000000000000,5
20140422,0,16.15,13.25,12.3928571428571,21.70000000000000,10.60000000000000
20140423,0,11.4,12.9,12.55,16.10000000000000,6.7
20140424,0,11.15,11.5,12.5857142857143,16.70000000000000,5.6
20140425,0,11.95,12.2333333333333,12.7428571428571,17.20000000000000,6.7
20140426,0,13.6,12.4,11.6642857142857,19.40000000000000,7.8
20140427,0,11.65,12.85,11.1857142857143,15.00000000000000,8.3
20140428,0,13.3,11.1833333333333,12.1785714285714,19.40000000000000,7.2
20140429,0,8.6,9.98333333333333,12.9285714285714,11.10000000000000,6.1
20140430,1,8.05,11.5833333333333,13.4071428571429,11.10000000000000,5
20140501,0,18.1,14.45,13.9214285714286,25.60000000000000,10.60000000000000
20140502,0,17.2,17.4166666666667,14.2428571428571,21.10000000000000,13.30000000000000
20140503,0,16.95,16.4666666666667,15.3571428571429,21.70000000000000,12.20000000000000
20140504,0,15.25,15.9166666666667,16.3928571428571,18.30000000000000,12.20000000000000
20140505,0,15.55,15.7333333333333,15.7142857142857,21.10000000000000,10.00000000000000
20140506,0,16.4,15.75,15.4,21.70000000000000,11.10000000000000
20140507,0,15.3,15.0166666666667,15.9928571428571,20.60000000000000,10.00000000000000
20140508,0,13.35,14.55,16.9142857142857,15.00000000000000,11.70000000000000
20140509,0,15,16.4833333333333,18.0642857142857,17.20000000000000,12.80000000000000
20140510,0,21.1,19.2666666666667,18.1857142857143,28.30000000000000,13.90000000000000
20140511,1,21.7,22.1333333333333,18.3428571428571,27.80000000000000,15.60000000000000
20140512,0,23.6,20.85,19.0142857142857,29.40000000000000,17.80000000000000
20140513,1,17.25,19.0833333333333,19.3285714285714,22.80000000000000,11.70000000000000
20140514,0,16.4,17.2333333333333,18.6571428571429,21.70000000000000,11.10000000000000
20140515,0,18.05,17.2166666666667,17.7,21.70000000000000,14.40000000000000
20140516,0,17.2,17.2166666666667,16.5857142857143,20.00000000000000,14.40000000000000
20140517,0,16.4,16.2,16.7857142857143,21.10000000000000,11.70000000000000
20140518,0,15,15.7333333333333,17.3357142857143,19.40000000000000,10.60000000000000
20140519,0,15.8,16.4833333333333,17.2142857142857,22.20000000000000,9.4
20140520,0,18.65,18.2333333333333,17.2571428571429,25.60000000000000,11.70000000000000
20140521,0,20.25,18.7,17.4142857142857,23.30000000000000,17.20000000000000
20140522,0,17.2,18.3166666666667,18.0928571428571,19.40000000000000,15.00000000000000
20140523,0,17.5,17.4,19.3285714285714,21.70000000000000,13.30000000000000
20140524,0,17.5,18.25,20.0785714285714,21.10000000000000,13.90000000000000
20140525,0,19.75,20.5666666666667,19.3285714285714,26.70000000000000,12.80000000000000
20140526,0,24.45,22.7,18.9785714285714,30.00000000000000,18.90000000000000
20140527,0,23.9,21.1166666666667,19.1,30.00000000000000,17.80000000000000
20140528,0,15,17.8833333333333,19.2214285714286,17.80000000000000,12.20000000000000
20140529,0,14.75,16.0333333333333,19.1,18.90000000000000,10.60000000000000
20140530,1,18.35,17.15,18.5857142857143,23.90000000000000,12.80000000000000
20140531,0,18.35,18.5333333333333,18.6642857142857,22.80000000000000,13.90000000000000
20140601,0,18.9,19.3666666666667,19.7357142857143,25.00000000000000,12.80000000000000
20140602,0,20.85,21.4,20.5214285714286,26.70000000000000,15.00000000000000
20140603,1,24.45,22.6,20.7928571428571,30.60000000000000,18.30000000000000
20140604,0,22.5,22.4,21.2714285714286,27.80000000000000,17.20000000000000
20140605,1,20.25,21,22.0642857142857,24.40000000000000,16.10000000000000
20140606,0,20.25,20.7333333333333,21.9428571428571,24.40000000000000,16.10000000000000
20140607,0,21.7,22.1333333333333,21.5428571428571,27.80000000000000,15.60000000000000
20140608,0,24.45,22.05,20.9857142857143,30.00000000000000,18.90000000000000
20140609,1,20,22.0333333333333,20.8357142857143,22.80000000000000,17.20000000000000
20140610,0,21.65,20.0833333333333,21.1142857142857,25.00000000000000,18.30000000000000
20140611,0,18.6,19.8166666666667,20.7928571428571,21.10000000000000,16.10000000000000
20140612,0,19.2,20,20.2785714285714,22.80000000000000,15.60000000000000
20140613,0,22.2,20.2833333333333,20.5928571428571,26.10000000000000,18.30000000000000
20140614,1,19.45,20.8333333333333,21.3142857142857,23.30000000000000,15.60000000000000
20140615,0,20.85,20.8333333333333,22.6642857142857,26.70000000000000,15.00000000000000
20140616,0,22.2,23.25,23.1357142857143,27.20000000000000,17.20000000000000
20140617,0,26.7,25.65,23.1,31.70000000000000,21.70000000000000
20140618,0,28.05,25.75,23.3428571428571,31.70000000000000,24.40000000000000
20140619,1,22.5,24.1666666666667,23.5,25.00000000000000,20.00000000000000
20140620,0,21.95,21.8666666666667,23.5785714285714,26.10000000000000,17.80000000000000
20140621,0,21.15,21.6833333333333,23.1357142857143,25.60000000000000,16.70000000000000
20140622,0,21.95,21.95,22.7357142857143,26.10000000000000,17.80000000000000
20140623,0,22.75,22.7666666666667,23.1285714285714,27.20000000000000,18.30000000000000
20140624,0,23.6,23.8666666666667,23.4,27.20000000000000,20.00000000000000
20140625,1,25.25,24.7,23.9142857142857,29.40000000000000,21.10000000000000
20140626,1,25.25,24.7833333333333,24.2285714285714,29.40000000000000,21.10000000000000
20140627,0,23.85,24.6166666666667,24.5142857142857,28.30000000000000,19.40000000000000
20140628,0,24.75,24.25,24.9928571428571,30.60000000000000,18.90000000000000
20140629,0,24.15,24.55,25.3142857142857,28.30000000000000,20.00000000000000
20140630,0,24.75,25.2833333333333,25.3642857142857,28.90000000000000,20.60000000000000
20140701,0,26.95,26.4,24.9285714285714,31.70000000000000,22.20000000000000
20140702,0,27.5,26.6833333333333,24.5642857142857,32.80000000000000,22.20000000000000
20140703,0,25.6,24.6333333333333,24.5285714285714,30.60000000000000,20.60000000000000
20140704,1,20.8,22.8666666666667,24.8785714285714,23.30000000000000,18.30000000000000
20140705,0,22.2,22.3,24.9214285714286,27.20000000000000,17.20000000000000
20140706,0,23.9,24.4333333333333,24.7642857142857,28.90000000000000,18.90000000000000
20140707,1,27.2,26.1166666666667,24.7142857142857,32.20000000000000,22.20000000000000
20140708,0,27.25,26.95,25.4357142857143,32.80000000000000,21.70000000000000
20140709,0,26.4,26.3,25.9142857142857,31.10000000000000,21.70000000000000
20140710,0,25.25,25.8333333333333,26.1071428571429,28.30000000000000,22.20000000000000
